اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر قيس اوريجينالز 3 توباكو اند عنبر وود او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c560cc45-8584-45bd-b9ca-e66a03e3304e-384.21052631579x500-c1NNFWJ4pg5LmGhMIzuMTkYFAzpmcAW0sQ7rfnaZ.png",201,متجر ساراء ميكاب.csv,عطر صمام كراون آند كو نمبر 3 أو دو بارفيوم 100مل,50.7,REVERSE-LOOKUP-FOUND,قيس,duplicate,,
عطر قيس اوريجينالز 1 برغموت اند فيتفير او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d6f7c91a-b654-4e71-8746-5cebe3cac9d3-500x500-XJhoXDX3TRbu8bXiruoxK4mjFXrdSxilKjxBweUX.png",194,متجر ساراء ميكاب.csv,عطر ابيركرومبي اند فيتش اوثينتيك نايت او دو بارفيوم 100 مل,44.1,REVERSE-LOOKUP-FOUND,قيس,duplicate,,
عطر سيداكتيف بلو من قيس النسائي او دو تواليت 75مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5081b91a-759f-4e61-a257-cfdc5bf1f1da-500x500-MVsLxxzl8ZiCIGOvksrsrCjSWoe6NqEdRKjbsi8C.png",155,متجر ساراء ميكاب.csv,عطر فرزاتشي بلو جينز أو دو توليت 75 مل,46.0,REVERSE-LOOKUP-FOUND,قيس,duplicate,,
عطر سيداكتيف كيس من قيس النسائي او دو تواليت 75مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dfaac260-7776-4ffe-ba1a-b912a28edc32-500x500-rQIId6ng6J18ZOiL79XFLxc3ncOrI04TiYJnjQ2w.png",149,متجر ساراء ميكاب.csv,عطر اسكادا ايلاند كيس أو دو تواليت 100مل,19.5,REVERSE-LOOKUP-FOUND,قيس,duplicate,,
عطر قيس اومو انتنسو الرجالي او دو بارفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b8ff9c01-33a1-4729-9ce8-e52c33dac12c-454.19847328244x500-EgQx5GdBfrWjAx02aFtIbWFNKsPTHSeuIVEbeWW4.png",148,متجر ساراء ميكاب.csv,عطر إستي لودر أزوري أو دو بارفيوم 50مل,49.8,REVERSE-LOOKUP-FOUND,قيس,duplicate,,
عطر وذ يو عنبر من إمبريو أرماني سترونجر,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fa8f4e76-d2e2-4860-b7be-384f0ad9cb5b-500x500-acD3dhBWW7mnP72xkIe03w3yjF3lv4JPRG82XdtQ.png",310,متجر ساراء ميكاب.csv,عطر شوبارد هابي سيبيرت أميرا دي أمور أو دو بارفيوم 75مل,30.6,REVERSE-LOOKUP-FOUND,,duplicate,,
فالنتينو عطر بورن إن روما للشعر والجسم 90 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/db009d9c-1c6c-403a-aed1-b4a8016e6380-500x500-PVH3TLyPv9rs2pCPQbaZWgD4JnWD54XdNh7rvWCn.png",201,متجر ساراء ميكاب.csv,معطر شعر وجسم فالنتينو بورن إن روما 90 مل,90.6,GOLDEN-HIGH,فالنتينو,duplicate,,
كريم مدغشقر سنتيلا للوجة - ٧٥ مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ef48b874-9121-4de4-b22b-fd35f09a921e-500x500-kQ3WhOm9N2CWJtg4U6LWk7yxU4CQqKTtNSsHnEQq.jpg",69,متجر ساراء ميكاب.csv,تستر جورجيو ارماني كود كولونيا  او دو تواليت - 75 مل,30.8,REVERSE-LOOKUP-FOUND,كريد,duplicate,,
جفنشي داليا ديفين او دي بارفيوم – 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/72311edb-8876-4cde-8759-7414098aed82-500x500-y8QjnhOfJObfaS3FncWtpv4Kjv1HyHpdlAUO8NLW.png",437,متجر ساراء ميكاب.csv,تستر نيكولاي باودر دي مسك انتنس او دو بارفيوم 100مل,49.1,REVERSE-LOOKUP-FOUND,جيفنشي,duplicate,,
عطر جان لويس شرير S الرجالي او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/718e4ab0-d711-43ec-bc36-b9d8ebd8b74e-500x500-BAaY9tyNNGYsQTCg7baAfJzyDgCryo2i3NB6ivCa.png",156,متجر ساراء ميكاب.csv,عطر جان لويس شرير S الرجالي او دو تواليت 100مل,95.0,GOLDEN-HIGH,جان لويس شرير,duplicate,,
عطر جان لويس شرير Pop Delights 02 النسائي او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/aa65dde5-50f0-465b-a26c-418e5203c151-500x500-KnVc09igRfvfBy1rZPeXRp1Rs8cRz10f2VXa75az.png",136,متجر ساراء ميكاب.csv,عطر جان لويس شرير Pop Delights 02 النسائي او دو تواليت 100مل,95.0,GOLDEN-HIGH,جان لويس شرير,duplicate,,
عطر جان لويس شرير 2 او دو تواليت 25مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/96d7bc9a-2f05-4b4e-9ee7-ee0de14d200b-500x500-pqMYfTqlBmFum9wFQTr1okOYV3vv1iFBZDE8u7aY.png",112,متجر ساراء ميكاب.csv,عطر جان لويس شرير S الرجالي او دو تواليت 100مل,33.5,REVERSE-LOOKUP-FOUND,جان لويس شرير,duplicate,,
عطر جان لويس شرير Pop Delights 03 النسائي او دو تواليت 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f41de936-df50-424c-973e-85e2b02e76f3-500x500-3X2cf7tcpZkwiNFif1HNvIglLW4sIqRidTIwxzin.jpg",98,متجر ساراء ميكاب.csv,عطر جان لويس شرير Pop Delights 03 النسائي او دو تواليت 50مل,95.0,GOLDEN-HIGH,جان لويس شرير,duplicate,,
عطر سندريلا من برفيوم غاليري للاطفال 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6855f580-1d03-4e05-8484-b113cc511c0c-500x500-yCwfuRWUiIACO8WA48G1iftWUgMeIXc0JnuEIVIr.png",64,متجر ساراء ميكاب.csv,عطر هابيت روج غيرلان برفيوم 100 مل,49.1,REVERSE-LOOKUP-FOUND,عطور سدرة,duplicate,,
عطر بيتيت انج من بيرفيوم غاليري - للاطفال 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f2777992-59a2-4af9-8cfa-375790ae3485-500x500-YOSL07pkcEurBXqvn8mK5lt4XMGaCI8X3OSUHft7.png",62,متجر ساراء ميكاب.csv,عطر يونيك لكجري ماشومارو إكسترايت دي بارفيوم 100 مل,46.3,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر ليذر فوريفر من دي غابور إكستريت دو بارفان 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4751eda9-3af9-4d84-8e98-e205542319f1-500x500-vRgFW4eeYqN1K5EfiK0NJN81Rw7FFaFVWlmqIchs.png",1121,متجر ساراء ميكاب.csv,عطر دي غابور ليذر فوريفر إكستريت دو بارفيوم 50 مل,90.3,GOLDEN-HIGH,دي غابور,duplicate,,
عطر دي لا لون من دي غابور اكستريت دو بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31b34889-aeb3-48aa-b7f2-4d228e6bf8c2-500x500-pHV1e2bS4toXEd3lcaDNuwOiaErBPPFG8UEtd4F0.png",957,متجر ساراء ميكاب.csv,عطر دي غابور دي لا لون إكستريت دو بارفيوم 50 مل,91.9,GOLDEN-HIGH,دي غابور,duplicate,,
عطر دارلينق روج من دي غابور اكسترايت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/55ea282f-2586-45f3-b5a8-80f46aacce01-408.5x500-ppRdyLonLhOH2Kq47QGe72wy13MtjUvugzdzrWDX.webp",951,متجر ساراء ميكاب.csv,عطر دارلينج روج من دي غابور إكستريت دي بارفيوم 50 مل,92.3,GOLDEN-HIGH,دي غابور,duplicate,,
عطر جيرلان لانستان بور أوم أو دو تواليت 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb655973-30e7-478d-bb7d-db9a6a7d26e4-500x500-kia9d7VIYphJ5h5WqG60a7ksSNWT86Wk3MLNuiQi.png",402,متجر ساراء ميكاب.csv,عطر لو بابير من ديبتيك أو دو تواليت 100 مل,54.3,REVERSE-LOOKUP-FOUND,جيرلان,duplicate,,
عطر جيروبوم جوزو اكسترايت دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/febd54a1-1d4e-40b3-85e7-7734227310a1-500x500-aziyMQGEiLXphmRbPC46eokfQ2ToWtqUvEsasa3f.png",1334,متجر ساراء ميكاب.csv,عطر جيروبوم جوزو اكسترايت دو بارفيوم 100مل (للجنسين),88.9,GOLDEN-HIGH,جيروبوم,duplicate,,
عطر لوف يورسيلف او دو بارفيوم 100 ملي,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/659147b9-4df5-4734-819e-c82e78a5d2e7-333.33333333333x500-2V9PT9v157mDIO4rebxyPQZOQIRT6vF1M2DJhI65.png",161,متجر ساراء ميكاب.csv,عطر بايريدو فيلفت هيز أو دو بارفيوم 100 مل,54.0,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر أوديون اكس جان جوليان من ميمو أو دو بارفان 75 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2ff82c64-fc69-4f77-bc4c-648ad5039420-500x500-lotKnNSaXtXJG8mDkTJ3NLL48tyLDdrBXq6aRc1W.png",1335,متجر ساراء ميكاب.csv,عطر جيرلان ليو أو دو بارفان 75مل,47.5,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر بلاك مانجو من بورن تو ستاند آوت إكستريت دو بارفان 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/07708466-2600-4e79-952d-67a816f37651-472.7626459144x500-korX38yMrKUEo1kZC5hpg3lyXpFbYE5SZsRPyQcu.png",1138,متجر ساراء ميكاب.csv,عطر اورمند جايان اسفركاند اليكسير اودي بيرفيوم 50 مل للجنسين,42.5,REVERSE-LOOKUP-FOUND,بورن تو ستاند آوت,duplicate,,
عطر انايس انايس اوريجينال من كاشريل او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9c9f731b-cdf4-4990-829a-56d2b0a6ffb3-500x500-g4zoIWZFip3jLFqRerzwXdJkSmWCFRx0SFW78Y4m.png",225,متجر ساراء ميكاب.csv,تستر عطر باكو رابان كالندر او دو تواليت 100مل,47.5,REVERSE-LOOKUP-FOUND,كاشريل,duplicate,,
عطر أتير اكستريت من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1f665844-0a6e-49cd-b155-11d6af61219c-500x495.01992031873-QcGX2n1NvSqWHl4dzIwVU9i8gnh1qJbkhLL7K7yL.png",171,متجر ساراء ميكاب.csv,عطر لافندر كنترولر إكستريت دو بارفيوم 100 مل للجنسين,42.6,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر فينينو من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/abf4a88d-e6a3-4abb-8b8a-c1ab4078877c-377.39130434783x500-v1lUAydQGOHrsIN8spnW8K4bZ23OPVwvI3qZr5iP.png",188,متجر ساراء ميكاب.csv,عطر كريفلي سيتروس باتيكانغا 100 مل,42.6,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر تشاوس اكستريت من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4bbaa656-03ab-4d9c-ac36-449f3409518b-499x500-CLG9JvdP0igcOBs0oF4thkr1bTm2PcSbpSv6nOgz.png",182,متجر ساراء ميكاب.csv,عطر ابيركرومبي اند فيتش اوثينتيك نايت او دو بارفيوم 100 مل,42.0,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر ايرادا اكستريت من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/56ddc5ed-e28e-4990-9d41-2b747938d260-434.70149253731x500-GWSJuvTNvJS3qOztITG1Q7puBsjzHcYTMfmylrrQ.png",181,متجر ساراء ميكاب.csv,عطر كارولينا هيريرا توبيروز او دي بارفيوم 100 مل للجنسين,42.3,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر شاميلو فلوف من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d2a38373-b854-44f2-9747-63c6db9a1cfe-374.35008665511x500-Gwx6yP6acXVQfVSHtwqbq6cIomrB2RSDJNFc3AXG.png",178,متجر ساراء ميكاب.csv,عطر شانيل كوكو مادمازل لو بريفيه 100 مل,43.2,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر فولكان بايي من فرينش افينيو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/af76686f-add7-4178-b52b-bdf63ef19412-459.69289827255x500-3Uf2kNH5biLt9Xp5LYGPviOTR5YFQHAyeh6qbnkS.png",170,متجر ساراء ميكاب.csv,عطر مسك جرينات نارسيسو رودريغز للجنسين 100مل,44.7,REVERSE-LOOKUP-FOUND,فرنش أفينيو,duplicate,,
عطر فولكان سابل اكسترايت من فرنش افنيو دي بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bbf52b4f-650d-46b9-b793-2b9b69833b64-454.19847328244x500-zYHP8xSvA88JzgQhMLTTgp2ASKzMGTJ8Yx5DjIll.png",169,متجر ساراء ميكاب.csv,عطر فرنش أفينيو بلاتين بلانك اكستريت دو بارفيوم 100مل,51.7,REVERSE-LOOKUP-FOUND,لاكوست,duplicate,,
عينة عطر فالرو بيرفيومز دي مارلي اكستريت دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/4babaa37-260a-4103-8bb8-3709428db58a-500x500-TixJM1E0Cj0FGvJS9LkXNqax8izk8957v0BWCSMl.png",40,متجر ساراء ميكاب.csv,عطر فرانشيسكا بيانكي ذا مارينرز رايم إكستريت دو بارفيوم 30مل,40.6,REVERSE-LOOKUP-FOUND,مارلي,duplicate,,
عطر فالرو بيرفيومز دي مارلي 100 ملي اكستريت دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/1a0246b7-70ae-47ae-9955-0a8df1f42d50-500x500-0CCz5TzEdCh0dcrrWq7CWa0vmjdiPCj3FBEaUBWn.png",2712,متجر ساراء ميكاب.csv,عطر مودون فالور إكستريت دو بارفيوم 100مل,54.7,REVERSE-LOOKUP-FOUND,مارلي,duplicate,,
عطر اندر ليمون تريز من ميزون مارجيلا او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5c12866a-ac7d-4f0e-8c56-6e20fe09f7ae-481.33595284872x500-ChUtTZGtuoadaXrPqiJVdxB7Lpqxqy2rIFdhcagJ.png",586,متجر ساراء ميكاب.csv,عطر ميزون مارجيلا ربليكا أندر ذا ليمون تري أو دو تواليت 100مل,88.1,GOLDEN-HIGH,مارفيل,duplicate,,
عطر تيرا دي جيويا من جورجيو أرماني -100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/95babe5f-63fd-435a-94df-a430af32e82a-500x500-AIlDG1ZBIw5ZM0tSvuXatjxZcPwfRD4EKN7bSyib.png",528,متجر ساراء ميكاب.csv,عطر  أرماني تيرا دي جيويا أو دو بارفيوم 100مل,51.1,REVERSE-LOOKUP-FOUND,جورجيو,duplicate,,
عطر لايت بلو الرجالي من دولتشي غابانا او دو تواليت 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/615df06c-f81c-4a76-b065-1cdc17959e66-500x500-y30HXyg0YTR0jqW01LmhoPmpah8fiIN1FOaUUNic.png",344,متجر ساراء ميكاب.csv,عطر جيفينشي بور هوم بلو ليبل أو دو تواليت 100مل,49.9,REVERSE-LOOKUP-FOUND,دولتشي غابانا,duplicate,,
عطر بيتش والك ميزون مارجيلا او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9ed4d762-1d6d-4bb8-82de-f88a15528149-495.01992031873x500-pnalmkBTdrFIU0yrTEwSH3pbnZRrB6YUFhwaYlXF.png",550,متجر ساراء ميكاب.csv,تستر عطر لاكوست بور ايل فرينش باناش النسائي او دو تواليت 100مل,46.9,REVERSE-LOOKUP-FOUND,مارفيل,duplicate,,
ربليكا نيفر ايندنغ سمر من ميزون مارجيلا او دو تواليت 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7c97e5ef-11f5-4a7d-a3c1-92bd46729574-500x500-UJ2dX5R7arDcvt8SnP58SdUsCugHxySBW55FHjGI.png",598,متجر ساراء ميكاب.csv,تستر  عنبر نارجيل هيرمس او دو تواليت 100 مل,49.9,REVERSE-LOOKUP-FOUND,مارفيل,duplicate,,
عطر اكروس ساندس من ميزون ريبليكا او دو برفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/461096e5-a78e-4f33-962e-c2ceb9c31ca9-500x500-oq35YnCSwW6246fQpQ4Cl96oUmMjx39GSefmNt3E.png",591,متجر ساراء ميكاب.csv,عطر بنهاليغونز كايرو أو دو برفيوم 100 مل,48.9,REVERSE-LOOKUP-FOUND,ميزون كريفلي,duplicate,,
عطر فلاينج من ميزون مارجيلا أو دو تواليت 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8f218de7-9053-493d-a45d-9815be7f588f-500x500-cfqxdtqsd9wjTvzDJrVK3BZkEMAWVQALcqgIMOoV.png",591,متجر ساراء ميكاب.csv,عطر ميزون مارجيلا ميوزك فيستيفال أو دو تواليت 100 مل للجنسين,53.4,REVERSE-LOOKUP-FOUND,فلا,duplicate,,
عطر أفنان 9 بي إم إكسير للجنسين من أفنان – إكستريت بارفان 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fc1fa265-bcba-46cd-b87f-c2db046de422-500x500-qhpMs1gzdFIUDMQCkRpcX6V0QhgPbit1dG9aHqkr.jpg",216,متجر ساراء ميكاب.csv,عطر بوند نمبر 9 دبى اميريلد او دى بيرفيوم 100 مل للجنسين,43.7,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر ديبتيك دو صن ليميتد ايديشن او دو بارفيوم 75مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2bedcb75-88c8-49da-b66f-162919dd8e3c-500x500-TMWKotWCzTaMUEC7CwntXrMZWALjabTRZ9VW7qmj.jpg",977,متجر ساراء ميكاب.csv,عطر كلوي فليور دو أو دو بارفيوم 75مل,52.5,REVERSE-LOOKUP-FOUND,ديبتيك,duplicate,,
عطر كوم دي غارسون وندر عود او دو بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/94503487-0872-4ed8-9fd3-4e116fdc7e5d-388.00705467372x500-0qKIAITxYKTv2ixa1VZpdYKY4YB15mXyxKTiXSPG.png",861,متجر ساراء ميكاب.csv,عطر كوم دي غارسون وندر عود أو دو بارفيوم 100مل,94.0,GOLDEN-HIGH,كوم دي جارسون,duplicate,,
عطر توم فورد بوا باسيفيك أو دو بارفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b1e98c61-6447-4c73-82d9-eb32db3692ea-500x500-Es6JX0HqYGBtHTmtSp0M6qWc2Xvrzb7VcftFs84B.jpg",701,متجر ساراء ميكاب.csv,عطر توم فورد بوا باسيفيك أو دو بارفيوم 100مل,95.0,GOLDEN-HIGH,توم فورد,duplicate,,
عطر الشعر امواج جايدنس 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9898e11a-931f-4da2-81e7-64b7de6fae66-500x500-47VlxnFVkv2YMk7CWUEHe3ZczUkeQR80h1hQVelB.jpg",588,متجر ساراء ميكاب.csv,عطر الشعر انيشيو مسك ثيرابي 50 مل,49.0,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر هيرمس فوياج دي هيرمس بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7ca91b30-cc57-4f89-834d-e258ca0427be-500x500-lBbyuwTsrUrTkXUnkZyLGEgIDEgfqAoUfscVE7hB.png",503,متجر ساراء ميكاب.csv,عطر مودون غريس إكستريت دو بارفيوم 100مل,49.4,REVERSE-LOOKUP-FOUND,هيرميس,duplicate,,
عطر روشاس أودايس أو دو بارفان 90 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/d09d61ab-3a60-47a4-bb3c-30f461005bc6-500x500-gI0eL1025O2KOvJr2Ve6MfWu2tZwszFxO6xSWWTC.jpg",316,متجر ساراء ميكاب.csv,عطر لاكوست بور ايل ناتشورال او دو تواليت 90مل,42.7,REVERSE-LOOKUP-FOUND,روشاس,duplicate,,
عطر اسد زنجبار من لطافة للرجال - او دو بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f4fc3106-a2b3-4e5e-bd40-3b4ae96c01b6-500x500-9QHCJYeknxGO1MJCpz1b0oK5qtJ4O3aZuOoim0bl.jpg",155,متجر ساراء ميكاب.csv,عطر بوشرون جيابور أوم أو دو بارفيوم 100مل للرجال,51.0,REVERSE-LOOKUP-FOUND,لطافة,duplicate,,
عطرغنوة من الاسرار - او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ff6d661b-2d65-497c-92fb-29c6283ec2fc-500x500-xcSo8Kg8kHgDWbL0S6ZLEnS0vJKAIosQRCKheV3C.png",139,متجر ساراء ميكاب.csv,عطر زودياك دمار او دي بارفيوم 100 مل,48.1,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر سولتيد وتر من الاسرار - او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb7b7ba3-d8e2-4750-b94b-24a3dd7ac0b3-500x500-svBIs1T4rUTOCcDaHnck369CzevGw3ZZSXiCpGT9.png",132,متجر ساراء ميكاب.csv,عطر إيلايت نوبل من زودياك أو دي بارفيوم 100 مل,48.5,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر ديب تريجر من الاسرار-او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/98a43aeb-5b07-4185-b8bd-5a5b4e0736cb-500x500-EwMWox0cHTa0Puc3Kh2zQT76lHQb7EM4aMAkfSlJ.png",126,متجر ساراء ميكاب.csv,عطر أتراكشن من لافندر إكسترايت دي بارفيوم 100 مل,48.8,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر وايت ساندز من الاسرار- او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/abbf9d31-1cf8-4dba-af46-e2fd6ed7a30b-500x500-JTypOpXp58cFGPFmNk3iihGiS84vLeW70S7vF4Ju.png",124,متجر ساراء ميكاب.csv,عطر هيرمس لا أمبري دي مارفيليز أو دو بارفيوم 100مل,49.0,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر نود بيرفيكشن من الاسرار - او دي بارفيوم - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/471f1ff1-7aca-416a-a8f6-f4fedd0c1c8f-500x500-CV7e7gbBxg7vJXJnQzhiktKvYUp29dA31a6W6BRX.png",120,متجر ساراء ميكاب.csv,عطر فيرتس بوا اي كوير رافينيه او دو بارفيوم 100مل,48.4,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر ذا ون من دولتشي غابانا الرجالي بارفيوم 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e90b3065-4fb8-4738-b9fd-202050485e03-360.54421768707x500-mQ1TFJKy7nibStBCbNLXal1Q0qkfRy1sJ2ovec1O.png",687,متجر ساراء ميكاب.csv,عطر كالفن كلاين ايفوريا ليكويد قولد الرجالي بارفيوم 100مل,51.3,REVERSE-LOOKUP-FOUND,دولتشي غابانا,duplicate,,
"كريم مرطب مع عامل الحماية من الشمس ++++50 بعصير البتولا من راوند لاب , 50 مل","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6f3896f1-7918-4e19-bda9-7b75eac65e90-375.21663778163x500-T0dO7hI1DM7nAhLlOV4zXmifqKoLG7WyJm6c5K22.png",59,متجر ساراء ميكاب.csv,عطر ميزون كريفيلي سافران سيكريت أو دو بارفيوم 50مل (للجنسين),37.1,REVERSE-LOOKUP-FOUND,كريد,duplicate,,
